21:41:58:565 [ALWAYS]	GUDE Logging Started
21:41:58:565 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:41:58:565 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:41:58:565 [ERROR]	Initialize resume cache pointer failure
21:41:58:566 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:41:58:566 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:42:02:897 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:42:02:897 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:42:02:897 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:42:02:898 [ERROR]	Initialize resume cache pointer failure
21:42:02:898 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:42:02:898 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
